TIME-IN ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 03,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,12,37,64,50,64,76,42,30,16,14,0,0,405
Ipad,0,5,2,5,15,35,5,12,10,5,2,0,96
Relaxation Room,1,0,0,0,0,1,0,0,0,0,0,0,2
Individual Study Room,0,0,1,0,0,0,0,0,0,0,0,0,1
Laptop Area,0,1,8,8,5,20,11,15,3,1,0,0,72
Smart Device,1,3,7,0,14,8,4,17,8,2,0,0,64
TOTAL,14,46,82,63,98,140,62,74,37,22,2,0,640
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 27,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,7,24,33,26,25,51,28,13,21,14,0,1,243
Ipad,2,1,9,0,7,29,4,4,9,6,1,0,72
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop Area,0,0,10,8,9,7,21,7,5,1,0,0,68
Smart Device,0,1,2,6,6,6,22,15,1,3,0,0,62
TOTAL,9,26,54,40,47,93,75,39,36,24,1,1,445
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 28,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,3,16,17,15,45,59,31,44,38,12,11,4,295
Ipad,4,2,7,5,26,35,7,13,11,1,1,0,112
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop Area,0,0,3,11,13,12,10,15,6,3,6,0,79
Smart Device,0,0,2,5,9,12,13,13,13,1,0,0,68
TOTAL,7,18,29,36,93,118,61,85,68,17,18,4,554
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 29,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,10,2,16,16,18,12,3,2,8,0,0,87
Ipad,0,0,0,0,0,1,0,1,0,0,0,0,2
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,0,0,0,0,3,0,0,0,0,0,0,3
Laptop Area,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Device,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,10,2,16,16,22,12,4,2,8,0,0,92
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TIME-OUT,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 03,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,0,0,0,0,0,0,0,0,16,3,0,19
Ipad Area,0,0,0,0,0,0,0,0,0,3,1,0,4
Relaxation Room,0,0,0,0,0,0,0,0,0,0,6,0,6
Individual Study Room,0,0,0,0,0,0,0,0,0,0,1,0,1
Laptop Area,0,0,0,0,0,0,0,0,0,22,2,0,24
Smart Device  Zone,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,0,0,0,0,41,13,0,54
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 04,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,6,9,25,31,78,85,103,50,68,55,32,2,544
Ipad Area,0,3,8,22,30,18,23,21,12,19,7,1,164
Relaxation Room,2,4,10,8,15,22,29,6,18,13,5,0,132
Individual Study Room,0,0,1,8,7,16,9,3,6,5,0,0,55
Laptop Area,1,2,13,22,24,32,62,27,57,68,27,0,335
Smart Device Zone,0,0,8,4,48,37,17,21,12,9,0,0,156
TOTAL,9,18,65,95,202,210,243,128,173,169,71,3,1386
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November  05,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,5,13,57,54,93,86,121,70,42,112,44,5,702
Ipad Area,0,5,10,12,20,20,32,18,12,20,4,2,155
Relaxation Room,1,3,16,26,15,46,17,27,19,18,5,0,193
Individual Study Room,0,1,8,6,11,11,16,20,1,2,0,0,76
Laptop Area,0,7,25,27,47,109,74,73,36,115,21,0,534
Smart Device Zone,0,2,1,11,21,44,42,28,22,16,0,0,187
TOTAL,6,31,117,136,207,316,302,236,132,283,74,7,1847
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November  06,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,5,31,31,73,71,157,3,78,83,131,25,12,700
Ipad Area,1,4,21,18,27,27,16,28,16,35,8,6,207
Relaxation Room,0,0,12,29,9,35,34,23,25,19,4,0,190
Individual Study Room,2,1,6,6,17,10,21,18,10,3,0,0,94
Laptop Area,0,11,2,27,57,5,67,68,39,87,19,0,382
Smart Device Zone,0,3,1,19,46,37,36,26,14,18,0,0,200
TOTAL,8,50,73,172,227,271,177,241,187,293,56,18,1773
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 07,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,9,21,54,62,89,112,88,66,76,70,28,17,692
Ipad Area,0,7,30,14,17,21,17,22,8,13,2,0,151
Relaxation Room,0,18,25,27,3,26,19,27,18,23,2,0,188
Individual Study Room,0,2,3,3,15,25,10,11,9,6,3,0,87
Laptop Area,4,22,94,80,87,84,76,51,20,17,0,0,535
Smart Device Zone,1,1,19,36,47,38,42,21,34,11,0,0,250
TOTAL,14,71,225,222,258,306,252,198,165,140,35,17,1903
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 12,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,4,14,61,46,91,102,72,62,87,78,52,5,674
Ipad Area,0,4,6,16,19,22,31,25,32,15,6,2,178
Relaxation Room,0,6,13,25,17,57,9,24,12,27,1,0,191
Individual Study Room,0,0,5,4,17,15,16,8,6,6,1,0,78
Laptop Area,0,2,8,28,58,70,52,42,68,67,39,0,434
Smart Device Zone,0,0,4,12,46,42,38,28,28,26,0,0,224
TOTAL,4,26,97,131,248,308,218,189,233,219,99,7,1779
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 13,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,6,10,47,110,124,127,109,113,44,131,52,9,882
Ipad Area,4,7,12,16,27,31,29,22,22,15,11,2,198
Relaxation Room,0,3,22,27,24,20,9,34,32,20,6,0,197
Individual Study Room,0,0,5,16,8,26,12,6,4,7,5,0,89
Laptop Area,2,9,24,64,38,102,46,82,39,60,25,0,491
Smart Device Zone,8,5,15,20,17,56,37,43,26,9,0,0,236
TOTAL,20,34,125,253,238,362,242,300,167,242,99,11,2093
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 14,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,22,33,78,73,98,160,83,102,98,91,29,5,872
Ipad Area,1,2,20,27,25,29,21,13,11,33,10,1,193
Relaxation Room,6,3,23,23,17,35,14,35,20,32,0,0,208
Individual Study Room,0,3,7,13,17,16,18,10,6,10,3,0,103
Laptop Area,8,1,2,1,0,34,14,27,33,56,10,0,186
Smart Device Zone,2,0,0,0,1,1,5,20,45,17,0,0,91
TOTAL,39,42,130,137,158,275,155,207,213,239,52,6,1653
,,,,,,,,,,,,,
,,,,,,,,,,,,,
